Space Key,Work Type,Summary,Description,Priority,Labels,Requirement ID
AEQA,Requirement,REQ-SUB-002 - Verify Subscription in Cart page,"Feature: Subscription
Requirement source: Site Scenario
Source scenario ID: SRC-TC-11
Coverage status: Fully Covered
Coverage rationale: The cart-page footer displayed the subscription heading, accepted the sanitized email, showed the expected success message, and remained on the cart page.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SUB-002.png
Gap / reconciliation note: No immediate gap. Retain AE-SUB-002 evidence confirming both the success message and continued cart-page context.",Medium,rtm-requirement,REQ-SUB-002
AEQA,Requirement,REQ-CART-001 - Add Products in Cart,"Feature: Cart
Requirement source: Site Scenario
Source scenario ID: SRC-TC-12
Coverage status: Fully Covered
Coverage rationale: Two products, their unit prices, default quantities, and line totals were verified. The case failed because the overall cart total was not displayed.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Fail
Postman result: N/A
Playwright result: Fail
Overall execution status: Fail
Evidence reference(s): ..\Screenshots\AE-CART-001.png
Defect ID(s): AE-BUG-003
Gap / reconciliation note: Retest AE-CART-001 after AE-BUG-003 is corrected and confirm the overall total equals the sum of all line totals.",Highest,rtm-requirement,REQ-CART-001
AEQA,Requirement,REQ-CART-002 - Verify Product quantity in Cart,"Feature: Cart
Requirement source: Site Scenario
Source scenario ID: SRC-TC-13
Coverage status: Fully Covered
Coverage rationale: Manual retest and corrected Playwright automation confirmed that quantity 4 can be selected on the product-detail page and is displayed correctly in the cart with the expected line total.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-CART-002.png
Defect ID(s): AE-BUG-004
Gap / reconciliation note: No immediate coverage gap. Retain AE-CART-002 in regression and preserve AE-BUG-004 as a rejected defect record.",High,rtm-requirement,REQ-CART-002
AEQA,Requirement,REQ-ORDER-001 - Place Order: Register while Checkout,"Feature: Checkout
Requirement source: Site Scenario
Source scenario ID: SRC-TC-14
Coverage status: Not Covered
Coverage rationale: No checkout registration-during-order workflow exists.
Test type: End-to-End — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create an end-to-end checkout case for registration during checkout.",Highest,rtm-requirement,REQ-ORDER-001
AEQA,Requirement,REQ-ORDER-002 - Place Order: Register before Checkout,"Feature: Checkout
Requirement source: Site Scenario
Source scenario ID: SRC-TC-15
Coverage status: Not Covered
Coverage rationale: No register-before-checkout workflow exists.
Test type: End-to-End — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create an end-to-end checkout case for registration before checkout.",Highest,rtm-requirement,REQ-ORDER-002
AEQA,Requirement,REQ-ORDER-003 - Place Order: Login before Checkout,"Feature: Checkout
Requirement source: Site Scenario
Source scenario ID: SRC-TC-16
Coverage status: Not Covered
Coverage rationale: No login-before-checkout workflow exists.
Test type: End-to-End — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create an end-to-end checkout case for login before checkout.",Highest,rtm-requirement,REQ-ORDER-003
AEQA,Requirement,REQ-CART-003 - Remove Products From Cart,"Feature: Cart
Requirement source: Site Scenario
Source scenario ID: SRC-TC-17
Coverage status: Fully Covered
Coverage rationale: A product was added to the cart, removed using the remove control, and verified as no longer displayed or included in cart totals.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-CART-003.png
Gap / reconciliation note: No immediate gap. Retain before-and-after cart evidence for future executions.",High,rtm-requirement,REQ-CART-003
AEQA,Requirement,REQ-CATALOG-001 - View Category Products,"Feature: Catalog
Requirement source: Site Scenario
Source scenario ID: SRC-TC-18
Coverage status: Not Covered
Coverage rationale: No category-navigation test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create category and subcategory navigation coverage.",Medium,rtm-requirement,REQ-CATALOG-001
AEQA,Requirement,REQ-CATALOG-002 - View & Cart Brand Products,"Feature: Catalog
Requirement source: Site Scenario
Source scenario ID: SRC-TC-19
Coverage status: Not Covered
Coverage rationale: No brand-navigation test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create brand-list and brand-switching coverage.",Medium,rtm-requirement,REQ-CATALOG-002
AEQA,Requirement,REQ-CART-004 - Search Products and Verify Cart After Login,"Feature: Search / Cart
Requirement source: Site Scenario
Source scenario ID: SRC-TC-20
Coverage status: Not Covered
Coverage rationale: No cart-persistence-after-login workflow exists.
Test type: End-to-End — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create search, cart, login, and cart-persistence coverage.",High,rtm-requirement,REQ-CART-004
AEQA,Requirement,REQ-REVIEW-001 - Add review on product,"Feature: Product Review
Requirement source: Site Scenario
Source scenario ID: SRC-TC-21
Coverage status: Not Covered
Coverage rationale: No product-review test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create product-review submission coverage.",Medium,rtm-requirement,REQ-REVIEW-001
AEQA,Requirement,REQ-CART-005 - Add to cart from Recommended items,"Feature: Recommended Items
Requirement source: Site Scenario
Source scenario ID: SRC-TC-22
Coverage status: Not Covered
Coverage rationale: No recommended-item cart test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create recommended-item cart coverage.",Medium,rtm-requirement,REQ-CART-005
AEQA,Requirement,REQ-ORDER-004 - Verify address details in checkout page,"Feature: Checkout
Requirement source: Site Scenario
Source scenario ID: SRC-TC-23
Coverage status: Not Covered
Coverage rationale: No billing/delivery address verification exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create checkout-address verification coverage.",Highest,rtm-requirement,REQ-ORDER-004
AEQA,Requirement,REQ-ORDER-005 - Download Invoice after purchase order,"Feature: Checkout / Invoice
Requirement source: Site Scenario
Source scenario ID: SRC-TC-24
Coverage status: Not Covered
Coverage rationale: No invoice-download test exists.
Test type: End-to-End — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create purchase and invoice-download coverage.",High,rtm-requirement,REQ-ORDER-005
AEQA,Requirement,REQ-NAV-002 - Verify Scroll Up using 'Arrow' button and Scroll Down functionality,"Feature: Navigation
Requirement source: Site Scenario
Source scenario ID: SRC-TC-25
Coverage status: Not Covered
Coverage rationale: No arrow-assisted scrolling test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create scroll-down and arrow-assisted scroll-up coverage.",Low,rtm-requirement,REQ-NAV-002
AEQA,Requirement,REQ-NAV-003 - Verify Scroll Up without 'Arrow' button and Scroll Down functionality,"Feature: Navigation
Requirement source: Site Scenario
Source scenario ID: SRC-TC-26
Coverage status: Not Covered
Coverage rationale: No manual scroll-up test exists.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Not Run
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Not Run
Gap / reconciliation note: Create manual scroll-down and scroll-up coverage.",Low,rtm-requirement,REQ-NAV-003
AEQA,Requirement,REQ-EXT-001 - Reject invalid email format during registration,"Feature: Registration
Requirement source: Tester-Derived
Source scenario ID: CUSTOM-01
Coverage status: Fully Covered
Coverage rationale: Tester-derived negative validation coverage was executed successfully.
Test type: Functional — Negative
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SIGNUP-003.png
Gap / reconciliation note: Retain as enhanced coverage beyond the published scenarios.",High,rtm-requirement,REQ-EXT-001
AEQA,Requirement,REQ-EXT-002 - Prevent account creation when required fields are blank,"Feature: Registration
Requirement source: Tester-Derived
Source scenario ID: CUSTOM-02
Coverage status: Fully Covered
Coverage rationale: Tester-derived required-field validation was executed successfully.
Test type: Functional — Negative
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SIGNUP-004.png
Gap / reconciliation note: Consider splitting each required field into an independently traceable case.",High,rtm-requirement,REQ-EXT-002
AEQA,Requirement,REQ-EXT-003 - Reject SQL injection input without authenticating the user,"Feature: Login Security
Requirement source: Tester-Derived
Source scenario ID: CUSTOM-03
Coverage status: Fully Covered
Coverage rationale: Tester-derived security-focused input validation was executed successfully.
Test type: Security — Negative
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-LOGIN-002.png
Gap / reconciliation note: Retain as authorized security coverage; do not use destructive payloads.",High,rtm-requirement,REQ-EXT-003
AEQA,Requirement,REQ-EXT-004 - Preserve an active account across logout and a new browser tab,"Feature: Account Management
Requirement source: Tester-Derived
Source scenario ID: CUSTOM-04
Coverage status: Fully Covered
Coverage rationale: Tester-derived account-persistence coverage was executed successfully.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-ACCOUNT-002.png
Gap / reconciliation note: Retain as enhanced account-lifecycle coverage.",High,rtm-requirement,REQ-EXT-004
AEQA,Requirement,REQ-API-001 - Get All Products List,"Feature: Product API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-01
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Positive
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-PRODUCT-001.png
..\Automation\Execution Evidence\API-PRODUCT-001.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 | products list returned. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-001
AEQA,Requirement,REQ-API-002 - POST To All Products List,"Feature: Product API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-02
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-PRODUCT-002.png
..\Automation\Execution Evidence\API-PRODUCT-002.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 405 | method not supported. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",Medium,rtm-requirement,REQ-API-002
AEQA,Requirement,REQ-API-003 - Get All Brands List,"Feature: Brand API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-03
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Positive
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-BRAND-001.png
..\Automation\Execution Evidence\API-BRAND-001.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 | brands list returned. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-003
AEQA,Requirement,REQ-API-004 - PUT To All Brands List,"Feature: Brand API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-04
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-BRAND-002.png
..\Automation\Execution Evidence\API-BRAND-002.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 405 | method not supported. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",Medium,rtm-requirement,REQ-API-004
AEQA,Requirement,REQ-API-005 - POST To Search Product,"Feature: Search API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-05
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Positive
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-SEARCH-001.png
..\Automation\Execution Evidence\API-SEARCH-001.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 | searched products list returned. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-005
AEQA,Requirement,"REQ-API-006 - POST To Search Product without search_product 
parameter","Feature: Search API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-06
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-SEARCH-002.png
..\Automation\Execution Evidence\API-SEARCH-002.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 400 | missing search_product message returned. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-006
AEQA,Requirement,REQ-API-007 - POST To Verify Login with valid details,"Feature: Authentication API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-07
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Positive
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-AUTH-001.png
..\Automation\Execution Evidence\API-AUTH-001.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 200 | User exists!. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",Highest,rtm-requirement,REQ-API-007
AEQA,Requirement,REQ-API-008 - POST To Verify Login without email parameter,"Feature: Authentication API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-08
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-AUTH-002.png
..\Automation\Execution Evidence\API-AUTH-002.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 400 | missing credential message returned. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-008
AEQA,Requirement,REQ-API-009 - DELETE To Verify Login,"Feature: Authentication API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-09
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-AUTH-003.png
..\Automation\Execution Evidence\API-AUTH-003.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 405 | method not supported. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",Medium,rtm-requirement,REQ-API-009
AEQA,Requirement,REQ-API-010 - POST To Verify Login with invalid details,"Feature: Authentication API
Requirement source: Site API Scenario
Source scenario ID: SRC-API-10
Coverage status: Fully Covered
Coverage rationale: Fresh Postman Collection Runner execution and independent Playwright verification both passed the HTTP transport, documented JSON responseCode, and scenario-specific payload or message assertions.
Test type: API — Negative
Execution environment: QA | automationexercise.com
Manual result: N/A
Postman result: Pass
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09-Run-Summary.md
..\API Testing\Execution Results\Postman Reports\AE-API_Full-Collection_QA_2026-08-09.reconstructed.postman_run.json
..\API Testing\Execution Results\Screenshots\API-AUTH-004.png
..\Automation\Execution Evidence\API-AUTH-004.png
..\Automation\test-results\qa-analytics\index.html
Gap / reconciliation note: 200 transport | responseCode 404 | User not found!. Fresh Postman run: 3/3 assertions passed on 2026-08-09; full collection: 42/42 passed, 0 errors. Historical August 1 baseline remains retained separately for auditability.",High,rtm-requirement,REQ-API-010
